country,year,political_stability
Ukraine,2017,-1.590004
Ukraine,2018,-1.446155
Ukraine,2019,-1.032024
Ukraine,2020,-0.959924
Ukraine,2021,-0.990563
Ukraine,2022,-1.050756
Ukraine,2023,-0.545978
Ukraine,2024,-0.432315
USA,2003,0.263668
USA,2004,0.079779
USA,2005,0.199347
USA,2006,0.419425
USA,2007,0.45956
USA,2008,0.629976
USA,2009,0.641191
USA,2010,0.616351
USA,2011,0.624543
USA,2012,0.620748
USA,2013,0.579523
USA,2014,0.668123
USA,2015,0.665879
USA,2016,0.327915
USA,2017,0.110129
USA,2018,0.290496
USA,2019,0.054638
USA,2020,-0.146807
USA,2021,-0.1264
USA,2022,-0.162609
USA,2023,-0.193136
USA,2024,-0.095113
Israel,2003,-1.18255
Israel,2004,-0.945312
Israel,2005,-0.923457
Israel,2006,-0.984717
Israel,2007,-0.826796
Israel,2008,-0.827965
Israel,2009,-1.047561
Israel,2010,-0.756258
Israel,2011,-0.80978
Israel,2012,-0.776944
Israel,2013,-0.885514
Israel,2014,-0.592453
Israel,2015,-0.611391
Israel,2016,-0.35465
Israel,2017,-0.450148
Israel,2018,-0.344696
Israel,2019,-0.436114
Israel,2020,-0.567841
Israel,2021,-0.699899
Israel,2022,-0.904997
Israel,2023,-1.042316
Israel,2024,-1.037501
Iraq,2003,-2.4735
Iraq,2004,-2.842326
Iraq,2005,-2.60758
Iraq,2006,-2.668404
Iraq,2007,-2.59261
Iraq,2008,-2.280343
Iraq,2009,-2.111527
Iraq,2010,-2.187694
Iraq,2011,-1.913135
Iraq,2012,-1.976426
Iraq,2013,-2.103964
Iraq,2014,-2.253827
Iraq,2015,-2.244909
Iraq,2016,-2.229176
Iraq,2017,-2.167725
Iraq,2018,-2.171925
Iraq,2019,-2.222725
Iraq,2020,-2.181474
Iraq,2021,-2.172268
Iraq,2022,-2.229428
Iraq,2023,-2.224695
Iraq,2024,-2.064276
Syria,2003,-0.027615
Syria,2004,-0.37855
Syria,2005,-0.463964
Syria,2006,-0.532526
Syria,2007,-0.563163
Syria,2008,-0.594826
Syria,2009,-0.526506
Syria,2010,-1.117494
Syria,2011,-2.13376
Syria,2012,-2.455435
Syria,2013,-2.465991
Syria,2014,-2.349718
Syria,2015,-2.438214
Syria,2016,-2.595535
Syria,2017,-2.44538
Syria,2018,-2.423858
Syria,2019,-2.452706
Syria,2020,-2.353676
Syria,2021,-2.374524
Syria,2022,-2.438247
Syria,2023,-2.437902
Syria,2024,-2.368072
Turkey,2003,-0.624468
Turkey,2004,-0.677982
Turkey,2005,-0.373772
Turkey,2006,-0.338799
Turkey,2007,-0.58333
Turkey,2008,-0.604511
Turkey,2009,-0.552293
Turkey,2010,-0.548691
Turkey,2011,-0.696616
Turkey,2012,-0.919687
Turkey,2013,-1.032178
Turkey,2014,-0.799807
Turkey,2015,-1.109349
Turkey,2016,-1.78017
Turkey,2017,-1.706232
Turkey,2018,-1.124112
Turkey,2019,-1.192454
Turkey,2020,-1.039605
Turkey,2021,-0.972106
Turkey,2022,-0.935034
Turkey,2023,-0.884477
Turkey,2024,-0.97071
